Linux 5.11.0-1022-aws (ip-172-31-22-195) 	12/31/21 	_x86_64_	(2 CPU)

09:41:15     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:42:20     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:42:21     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:42:22     all    9.50    0.00    1.50    0.50    0.00    0.00    0.00    0.00    0.00   88.50
09:42:23     all   31.16    0.00    2.01    0.00    0.00    0.00    0.00    0.00    0.00   66.83
09:42:24     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:42:25     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:42:26     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:42:27     all    6.97    0.00   41.29    0.00    0.00    0.00    0.00    0.00    0.00   51.74
09:42:28     all   12.94    0.00   86.07    0.00    0.00    1.00    0.00    0.00    0.00    0.00
09:42:29     all    5.15    0.00   90.72    0.00    0.00    0.00    0.00    0.00    0.00    4.12
09:42:30     all    7.77    0.00   83.42    0.00    0.00    0.52    0.00    0.00    0.00    8.29
09:42:31     all    6.06    0.00   86.87    0.00    0.00    1.01    0.00    0.00    0.00    6.06
09:42:32     all    7.94    0.00   82.01    0.00    0.00    1.59    0.00    0.00    0.00    8.47
09:42:33     all    4.08    0.00   83.67    0.00    0.00    1.02    0.00    0.00    0.00   11.22
09:42:34     all    4.44    0.00   72.22    0.00    0.00    1.67    0.00    0.00    0.00   21.67
09:42:35     all    8.02    0.00   73.80    0.00    0.00    1.60    0.00    0.00    0.00   16.58
09:42:36     all    6.84    0.00   75.26    0.00    0.00    1.05    0.00    0.00    0.00   16.84
09:42:37     all    6.42    0.00   75.94    0.00    0.00    1.07    0.00    0.00    0.00   16.58
09:42:38     all    5.91    0.00   78.49    0.00    0.00    1.08    0.00    0.00    0.00   14.52
09:42:39     all    5.88    0.00   73.26    0.00    0.00    1.07    0.00    0.00    0.00   19.79
09:42:40     all    5.18    0.00   80.31    0.00    0.00    1.04    0.00    0.00    0.00   13.47
09:42:41     all    5.08    0.00   93.40    0.00    0.00    0.51    0.00    0.00    0.00    1.02
09:42:42     all    4.55    0.00   92.93    0.00    0.00    0.00    0.00    0.00    0.00    2.53
09:42:43     all    6.67    0.00   82.05    0.00    0.00    1.03    0.00    0.00    0.00   10.26
09:42:44     all    5.49    0.00   70.33    0.00    0.00    1.65    0.00    0.00    0.00   22.53
09:42:45     all    5.70    0.00   81.87    0.00    0.00    1.55    0.00    0.00    0.00   10.88
09:42:46     all    5.91    0.00   77.42    0.00    0.00    1.08    0.00    0.00    0.00   15.59
09:42:47     all    7.58    0.00   88.89    0.00    0.00    0.00    0.00    0.00    0.00    3.54
09:42:48     all    6.03    0.00   93.97    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09:42:49     all    3.59    0.00   88.21    0.00    0.00    1.03    0.00    0.00    0.00    7.18
09:42:50     all    7.00    0.00   91.50    0.00    0.00    0.00    0.00    0.00    0.00    1.50
09:42:51     all    5.18    0.00   86.01    0.00    0.00    0.52    0.00    0.00    0.00    8.29
09:42:52     all    6.53    0.00   91.46    0.00    0.00    0.00    0.00    0.00    0.00    2.01
09:42:53     all    6.19    0.00   90.72    0.00    0.00    0.00    0.00    0.00    0.00    3.09
09:42:54     all    6.50    0.00   91.00    0.00    0.00    1.00    0.00    0.00    0.00    1.50
09:42:55     all    5.56    0.00   94.44    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09:42:56     all    8.16    0.00   88.27    0.00    0.00    0.51    0.00    0.00    0.00    3.06
09:42:57     all    6.57    0.00   87.37    0.00    0.00    0.51    0.00    0.00    0.00    5.56
09:42:58     all    7.07    0.00   91.92    0.00    0.00    0.00    0.00    0.00    0.00    1.01
09:42:59     all    6.63    0.00   86.22    0.00    0.00    0.51    0.00    0.00    0.00    6.63
09:43:00     all    4.57    0.00   95.43    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09:43:01     all    8.04    0.00   91.46    0.00    0.00    0.50    0.00    0.00    0.00    0.00
09:43:02     all    5.97    0.00   91.04    0.00    0.00    1.00    0.00    0.00    0.00    1.99
09:43:03     all    5.03    0.00   94.47    0.00    0.00    0.50    0.00    0.00    0.00    0.00
09:43:04     all    4.98    0.00   94.03    0.00    0.00    0.50    0.00    0.00    0.00    0.50
09:43:05     all   14.50    0.00   85.00    0.00    0.00    0.50    0.00    0.00    0.00    0.00
09:43:06     all    6.50    0.00   93.50    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09:43:07     all    4.23    0.00   86.77    0.00    0.00    1.06    0.00    0.00    0.00    7.94
09:43:08     all    7.53    0.00   70.43    0.00    0.00    0.54    0.00    0.00    0.00   21.51
09:43:09     all    7.61    0.00   83.76    0.00    0.00    0.51    0.00    0.00    0.00    8.12
09:43:10     all    5.00    0.00   95.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09:43:11     all    5.15    0.00   88.66    0.00    0.00    0.00    0.00    0.00    0.00    6.19
09:43:12     all    6.70    0.00   86.08    0.00    0.00    0.52    0.00    0.00    0.00    6.70
09:43:13     all    4.10    0.00   86.67    0.00    0.00    1.54    0.00    0.00    0.00    7.69
09:43:14     all    5.03    0.00   93.47    0.00    0.00    0.00    0.00    0.00    0.00    1.51
09:43:15     all    5.15    0.00   87.11    0.00    0.00    0.00    0.00    0.00    0.00    7.73
09:43:16     all    6.97    0.00   92.04    0.00    0.00    0.50    0.00    0.00    0.00    0.50
09:43:17     all    5.56    0.00   89.39    0.00    0.00    0.00    0.00    0.00    0.00    5.05
09:43:18     all    7.33    0.00   86.91    0.00    0.00    0.52    0.00    0.00    0.00    5.24
09:43:19     all    5.00    0.00   93.00    0.00    0.00    0.00    0.00    0.00    0.00    2.00
09:43:20     all    6.63    0.00   87.76    0.00    0.00    0.00    0.00    0.00    0.00    5.61
09:43:21     all    4.64    0.00   87.63    0.00    0.00    1.03    0.00    0.00    0.00    6.70
09:43:22     all    7.65    0.00   88.27    0.00    0.00    0.51    0.00    0.00    0.00    3.57
09:43:23     all    5.91    0.00   92.61    0.00    0.00    0.99    0.00    0.00    0.00    0.49
09:43:24     all    5.05    0.00   91.41    0.00    0.00    0.51    0.00    0.00    0.00    3.03
09:43:25     all    5.03    0.00   91.96    0.00    0.00    0.00    0.00    0.00    0.00    3.02
09:43:26     all    5.50    0.00   93.00    0.00    0.00    0.50    0.00    0.00    0.00    1.00
09:43:27     all    9.05    0.00   90.95    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09:43:28     all    5.08    0.00   87.82    0.00    0.00    1.02    0.00    0.00    0.00    6.09
09:43:29     all    7.14    0.00   87.24    0.00    0.00    0.00    0.00    0.00    0.00    5.61
09:43:30     all    6.22    0.00   86.01    0.00    0.00    0.52    0.00    0.00    0.00    7.25
09:43:31     all    4.21    0.00   84.74    0.00    0.00    0.53    0.00    0.00    0.00   10.53
09:43:32     all    6.00    0.00   93.50    0.00    0.00    0.50    0.00    0.00    0.00    0.00
09:43:33     all    5.03    0.00   94.97    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09:43:34     all    4.50    0.00   94.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50
09:43:35     all    6.15    0.00   85.64    0.00    0.00    1.54    0.00    0.00    0.00    6.67
09:43:36     all    5.10    0.00   92.35    0.00    0.00    0.00    0.00    0.00    0.00    2.55
09:43:37     all    4.08    0.00   91.84    0.00    0.00    0.51    0.00    0.00    0.00    3.57
09:43:38     all    6.06    0.00   92.93    0.00    0.00    0.00    0.00    0.00    0.00    1.01
09:43:39     all    7.00    0.00   91.50    0.00    0.00    0.00    0.00    0.00    0.00    1.50
09:43:40     all    6.00    0.00   93.00    0.00    0.00    0.50    0.00    0.00    0.00    0.50
09:43:41     all    5.56    0.00   93.94    0.00    0.00    0.00    0.00    0.00    0.00    0.51
09:43:42     all    7.07    0.00   89.39    0.00    0.00    1.01    0.00    0.00    0.00    2.53
09:43:43     all    5.13    0.00   89.23    0.00    0.00    0.51    0.00    0.00    0.00    5.13
09:43:44     all    4.52    0.00   94.47    0.00    0.00    0.00    0.00    0.00    0.00    1.01
09:43:45     all    6.00    0.00   94.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09:43:46     all    4.98    0.00   93.03    0.00    0.00    0.00    0.00    0.00    0.00    1.99
09:43:47     all    5.50    0.00   94.00    0.00    0.00    0.50    0.00    0.00    0.00    0.00
09:43:48     all    5.95    0.00   76.22    0.00    0.00    1.08    0.00    0.00    0.00   16.76
09:43:49     all    6.00    0.00   92.50    0.00    0.00    0.50    0.00    0.00    0.00    1.00
09:43:50     all    5.00    0.00   95.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
